label,text
1,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
0,Not planned yet :)going to join company on jan 5 only.don know what will happen after that.
0,I WILL CAL YOU SIR. In meeting
0,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.
1,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy"
1,Natalie (20/F) is inviting you to be her friend. Reply YES-165 or NO-165 See her: www.SMS.ac/u/natalie2k9 STOP? Send STOP FRND to 62468
0,Same. Wana plan a trip sometme then
0,"Alright, see you in a bit"
0,"Thanx 4 the time weÂve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx"
0,Do we have any spare power supplies
0,Good night my dear.. Sleepwell&amp;Take care
0,Hello beautiful r u ok? I've kinda ad a row wiv and he walked out the pub?? I wanted a night wiv u Miss u 
0,Oh baby of the house. How come you dont have any new pictures on facebook
0,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING"
0,Mm you ask him to come its enough :-)
0,I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.
1,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or Â£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+"
0,No dear i do have free messages without any recharge. Hi hi hi
0,How much are we getting?
0,Did u got that persons story
0,Yes... I trust u to buy new stuff ASAP so I can try it out
0,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng
0,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
0,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
0,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT"
0,I attended but nothing is there.
0,Dear how you. Are you ok?
0,Are you angry with me. What happen dear
0,Surely result will offer:)
1,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL
0,No no. I will check all rooms befor activities
0,I cant pick the phone right now. Pls send a message
0,Ok i found dis pierre cardin one which looks normal costs 20 its on sale.
0,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
0,"Yeah sure, give me a couple minutes to track down my wallet"
0,I am going to sleep. I am tired of travel.
1,"Romantic Paris. 2 nights, 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply."
0,"Haha I heard that, text me when you're around"
0,What Today-sunday..sunday is holiday..so no work..
0,No she didnt. I will search online and let you know.
0,Not able to do anything.
0,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...
0,"Received, understood n acted upon!"
0,We're on the opposite side from where we dropped you off
0,What pa tell me.. I went to bath:-)
0,"Sorry, I'll call later"
0,COME BACK TO TAMPA FFFFUUUUUUU
1,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412
0,"Cool, I'll text you when I'm on the way"
0,Hows that watch resizing
0,Tell where you reached
0,Thats cool. i am a gentleman and will treat you with dignity and respect.
0,it's really getting me down just hanging around.
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or Â£1000. To claim txt DIS to 87121 18+6*Â£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
0,How are you holding up?
0,Dont think so. It turns off like randomlly within 5min of opening
0,Dunno lei... I might b eatin wif my frens... If Ã¼ wan to eat then i wait 4 Ã¼ lar
0,And I don't plan on staying the night but I prolly won't be back til late
0,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?
1,You are a winner you have been specially selected to receive Â£1000 cash or a Â£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
0,Haven't left yet so probably gonna be here til dinner
0,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
0,Fine am simply sitting.
0,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?"
