text,length,words,spam
u have a secret admir who is look make contact with u find out who they r reveal who think ur so special call on,112,25,1
i cant pick the phone right now pl send a messag,48,11,0
ok then i ll let him noe later n ask him call u tmr,51,14,0
from lost pound help,20,4,1
sorri wa at the grocer,22,5,0
when peopl see my msg they think iam addict to msging they are wrong bcoz they don t know that iam addict to my sweet friend bslvyl,131,27,0
i didnt get anyth da,20,5,0
in which place do you want da,29,7,0
valentin day special win over in our quiz and take your partner on the trip of a lifetim send go to now p msg rcvd custcar,122,26,1
hi babe it me thank for come even though it didnt go that well i just want my bed hope to see you soon love and kiss xxx,120,28,0
st wk free gr tone str u each wk txt nokia on to for classic nokia tone or hit on to for poli nokia p poli p,108,27,1
nope i wait in sch daddi,24,6,0
wow didn t think it wa that common i take it all back ur not a freak unless u chop it off,89,22,0
when should i come over,23,5,0
if i die i want u to have all my stuff,38,11,0
they r give a second chanc to rahul dengra,42,9,0
di is yiju i ju saw ur mail in case huim havent sent u my num di is my num,74,20,0
night night see you tomorrow,28,5,0
you in your room i need a few,29,8,0
mmmmm it wa sooooo good to wake to your word thi morn my love mmmm fuck i love you too my lion devour kiss from across the sea,126,28,0
i need you to be in my strong arm,33,9,0
refus a loan secur or unsecur can t get credit call free now or text back help we will,86,19,1
today vodafon number end with my last four digit are select to receiv a award if your number match pleas call to claim your award,129,25,1
in work now go have in few min,30,8,0
what class of reunion,21,4,0
ok,2,1,0
i am not have her number sir,28,7,0
that s signific but dont worri,30,6,0
wat time ü wan today,20,5,0
wait i will msg after min,25,6,0
yar i tot u knew di would happen long ago alreadi,49,11,0
whenevr ur sad whenevr ur gray remembr im here listn watevr u wan na say ju walk wid me a littl while i promis i ll bring back ur smile,135,30,0
can i meet ü at as where depend on where ü wan in lor,53,14,0
univers of southern california,30,4,0
okay same with me well thank for the clarif,43,9,0
thi girl doe not stay in bed thi girl doesn t need recoveri time id rather pass out while have fun then be coop up in bed,121,27,0
sorri i ll call later,21,5,0
what wa she look for,20,5,0
hey u still at the gym,22,6,0
stupid it not possibl,21,4,0
no problem babi is thi is a good time to talk i call and left a messag,70,17,0
set a place for me in your heart and not in your mind as the mind easili forget but the heart will alway rememb wish you happi valentin day,139,29,0
orang bring you rington from all time chart hero with a free hit each week go to rington pic on wap to stop receiv these tip repli stop,135,28,1
our mobil number ha won to claim call us back or ring the claim hot line on,75,17,1
at the funer home with audrey and dad,37,8,0
i met you as a stranger and choos you as my friend as long as the world stand our friendship never end let be friend forev gud nitz,131,28,0
ok im not sure what time i finish tomorrow but i wan na spend the even with you co that would be vewi vewi lubli love me xxx,124,28,0
there are mani compani tell me the languag,42,8,0
shall i send that exe to your mail id,37,9,0
x cours it yr just so her messag on messeng lik you r send me,61,15,0
come to my home for one last time i wont do anyth trust me,58,14,0
actual my mobil is full of msg and i m do a work onlin where i need to send them sent msg i wil explain u later,111,27,0
have you ever had one foot befor,32,7,0
the beauti of life is in next second which hide thousand of secret i wish everi second will be wonder in ur life gud n,118,25,0
sure but sinc my parent will be work on tuesday i don t realli need a cover stori,81,18,0
pl give her prometazin syrup ml then min later feed,51,10,0
how come i din c ü yup i cut my hair,36,11,0
cool breez bright sun fresh flower twitter bird all these wait to wish u goodmorn have a nice day,97,19,0
you have won a nokia i thi is what you get when you win our free auction to take part send nokia to now hg suit land row wjhl,125,29,1
u sure u can t take ani sick time,33,9,0
lol no u can trust me,21,6,0
i ll hand her my phone to chat wit u,36,10,0
home so we can alway chat,25,6,0
i ll post her out lr in class,29,8,0
thank for ve love wish you rock,31,7,0
you have won a price to claim call,34,8,1
i want to see your pretti pussi,31,7,0
yeah i got a list with onli u and joanna if i m feel realli anti social,71,17,0
yeah i am so i ll leav mayb ish,31,9,0
got it mail panren paru,23,5,0
uk break accommodationvouch term condit appli claim you mustprovid your claim number which is,93,14,1
